
Training the model in NVIDIA GeForce RTX 3060
Training Data:  1881 images
Validation Data:  807 images
----------- MODEL: baseline --------------
----------- TRAINING START 13_03_2022_19_11_50 --------------


EPOCH 22  TEST: 100% 26/26 [00:01<00:00, 20.29it/s, acc=0.771, loss=2.93]


EPOCH 23 TRAIN: 100% 59/59 [00:04<00:00, 13.15it/s, acc=0.729, loss=0.945]
EPOCH 23  TEST: 100% 26/26 [00:01<00:00, 20.23it/s, acc=0.784, loss=1.61]

EPOCH 24 TRAIN: 100% 59/59 [00:04<00:00, 13.24it/s, acc=0.739, loss=0.541]
EPOCH 24  TEST: 100% 26/26 [00:01<00:00, 20.14it/s, acc=0.748, loss=1.67]

EPOCH 25 TRAIN: 100% 59/59 [00:04<00:00, 13.25it/s, acc=0.725, loss=0.56]
EPOCH 25  TEST: 100% 26/26 [00:01<00:00, 20.54it/s, acc=0.794, loss=1.65]

EPOCH 26 TRAIN: 100% 59/59 [00:04<00:00, 13.37it/s, acc=0.725, loss=1.24]
EPOCH 26  TEST: 100% 26/26 [00:01<00:00, 20.20it/s, acc=0.767, loss=1.75]

EPOCH 27 TRAIN: 100% 59/59 [00:04<00:00, 13.18it/s, acc=0.735, loss=0.736]
EPOCH 27  TEST: 100% 26/26 [00:01<00:00, 20.34it/s, acc=0.786, loss=1.45]

EPOCH 28 TRAIN: 100% 59/59 [00:04<00:00, 13.18it/s, acc=0.734, loss=0.398]
EPOCH 28  TEST: 100% 26/26 [00:01<00:00, 20.35it/s, acc=0.783, loss=1.6]

EPOCH 29 TRAIN: 100% 59/59 [00:04<00:00, 12.97it/s, acc=0.734, loss=0.684]
EPOCH 29  TEST: 100% 26/26 [00:01<00:00, 19.73it/s, acc=0.746, loss=1.69]

EPOCH 30 TRAIN: 100% 59/59 [00:04<00:00, 12.54it/s, acc=0.741, loss=0.96]
EPOCH 30  TEST:  54% 14/26 [00:00<00:00, 18.07it/s, acc=0.792, loss=0.47]
EPOCH 30  TEST: 100% 26/26 [00:01<00:00, 19.17it/s, acc=0.804, loss=1.24]

EPOCH 31 TRAIN: 100% 59/59 [00:04<00:00, 13.11it/s, acc=0.747, loss=0.681]
EPOCH 31  TEST: 100% 26/26 [00:01<00:00, 18.56it/s, acc=0.777, loss=2.56]

EPOCH 32 TRAIN: 100% 59/59 [00:04<00:00, 13.51it/s, acc=0.751, loss=0.898]
